Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
2304,5196222178,mattcavemusic,324,140.5,G Keith Mitchell G Gary Woodland G Corey Conners G Jordan L. Smith G Brian Harman G Lee Hodges,,,,,
2304,5196308570,fpaullywod,324,140.5,G Scottie Scheffler G Taylor Moore G Austin Smotherman G Chris Kirk G Zac Blair G Tom Hoge,,,,,
2304,5196369887,Erwenz33,324,140.5,G Doug Ghim G Corey Conners G Max Homa G Jordan L. Smith G Mac Meissner G Ben Kohles,,,,,
2304,5196409643,Lakejockwood651,324,140.5,G Jake Knapp G Tom Kim G Corey Conners G Johnny Keefer G Emiliano Grillo G Mackenzie Hughes,,,,,
2304,5196427531,ChiChi989,324,140.5,G Scottie Scheffler G Michael Brennan G Stephan Jaeger G Erik Van Rooyen G Joel Dahmen G Cameron Champ,,,,,
2304,5196579062,iBruffJew,324,140.5,G Hideki Matsuyama G Doug Ghim G Jordan L. Smith G Sudarshan Yellamaraju G Emiliano Grillo G Zachary Bauchou,,,,,
2304,5196622787,JackBaum15,324,140.5,G Scottie Scheffler G Christiaan Bezuidenhout G Max McGreevy G Billy Horschel G Aaron Wise G Jimmy Stanger,,,,,
2304,5196631621,georgea023,324,140.5,G Tom Kim G Jackson Koivun G Corey Conners G Sungjae Im G Brian Harman G Tom Hoge,,,,,
2304,5196634814,ktlongshot,324,140.5,G Tom Kim G Sungjae Im G Jordan L. Smith G Mac Meissner G Michael Brennan G Rasmus Neergaard-Petersen,,,,,
2304,5196644976,tlabanick,324,140.5,G Scottie Scheffler G Hideki Matsuyama G Zac Blair G Fabián Gómez G Troy Merritt G Brannon Fahrny,,,,,
2304,5196736347,tneal11,324,140.5,G Jackson Koivun G Pierceson Coody G Corey Conners G Max Homa G Rasmus Neergaard-Petersen G Aaron Wise,,,,,
2304,5196796029,Newka28,324,140.5,G Jake Knapp G Tom Kim G Gary Woodland G Mac Meissner G Max Greyserman G Takumi Kanaya,,,,,
2304,5196818380,TheMrBigE,324,140.5,G Scottie Scheffler G Hideki Matsuyama G Zac Blair G Fabián Gómez G Troy Merritt G Brannon Fahrny,,,,,
2304,5196850421,H2P23,324,140.5,G Kurt Kitayama G Keith Mitchell G Benjamin James G Johnny Keefer G William Mouw G Emiliano Grillo,,,,,
2304,5196883757,ritleysammich,324,140.5,G Tom Kim G Doug Ghim G Max Homa G Christiaan Bezuidenhout G William Mouw G Emiliano Grillo,,,,,
2341,5194651029,jomaha2005,324,140,G Kurt Kitayama G Tom Kim G Jackson Suber G Lee Hodges G Keita Nakajima G Zachary Bauchou,,,,,
2341,5194694581,mattyd2326,324,140,G Scottie Scheffler G Sam Stevens G Matti Schmid G David Lipsky G Aaron Wise G Adam Svensson,,,,,
2341,5194775027,colbymuleshockey,324,140,G Kurt Kitayama G Tom Kim G Jordan L. Smith G Benjamin James G John Parry G Lucas Glover,,,,,
