HOLE-BY-HOLE DETAIL,,,,,,,,,
"Event: TOUR Championship (401811964) | Success: 30 | Failed: 0 | Updated: 8/31/2026, 6:13:47 AM",,,,,,,,,
,,,,,,,,,
Player,Player ID,Round,Hole,Par,Strokes,Score Type,To Par,Round Score,Round To Par
Robert MacIntyre,11378,4,12,4,3,Birdie,-1,74,+4
Robert MacIntyre,11378,4,13,4,4,Par,E,74,+4
Robert MacIntyre,11378,4,14,4,4,Par,E,74,+4
Robert MacIntyre,11378,4,15,3,5,Double Bogey,+2,74,+4
Robert MacIntyre,11378,4,16,4,5,Bogey,+1,74,+4
Robert MacIntyre,11378,4,17,4,5,Bogey,+1,74,+4
Robert MacIntyre,11378,4,18,5,5,Par,E,74,+4
Rory McIlroy,3470,1,1,4,5,Bogey,+1,68,-2
Rory McIlroy,3470,1,2,3,3,Par,E,68,-2
Rory McIlroy,3470,1,3,4,4,Par,E,68,-2
Rory McIlroy,3470,1,4,4,5,Bogey,+1,68,-2
Rory McIlroy,3470,1,5,4,4,Par,E,68,-2
Rory McIlroy,3470,1,6,5,4,Birdie,-1,68,-2
Rory McIlroy,3470,1,7,4,4,Par,E,68,-2
Rory McIlroy,3470,1,8,4,4,Par,E,68,-2
Rory McIlroy,3470,1,9,3,3,Par,E,68,-2
Rory McIlroy,3470,1,10,4,3,Birdie,-1,68,-2
Rory McIlroy,3470,1,11,3,3,Par,E,68,-2
Rory McIlroy,3470,1,12,4,3,Birdie,-1,68,-2
Rory McIlroy,3470,1,13,4,4,Par,E,68,-2
Rory McIlroy,3470,1,14,4,5,Bogey,+1,68,-2
Rory McIlroy,3470,1,15,3,2,Birdie,-1,68,-2
Rory McIlroy,3470,1,16,4,4,Par,E,68,-2
Rory McIlroy,3470,1,17,4,3,Birdie,-1,68,-2
Rory McIlroy,3470,1,18,5,5,Par,E,68,-2
Rory McIlroy,3470,2,1,4,3,Birdie,-1,69,-1
Rory McIlroy,3470,2,2,3,3,Par,E,69,-1
Rory McIlroy,3470,2,3,4,6,Double Bogey,+2,69,-1
Rory McIlroy,3470,2,4,4,5,Bogey,+1,69,-1
Rory McIlroy,3470,2,5,4,4,Par,E,69,-1
Rory McIlroy,3470,2,6,5,4,Birdie,-1,69,-1
Rory McIlroy,3470,2,7,4,4,Par,E,69,-1
Rory McIlroy,3470,2,8,4,4,Par,E,69,-1
Rory McIlroy,3470,2,9,3,3,Par,E,69,-1
Rory McIlroy,3470,2,10,4,4,Par,E,69,-1
Rory McIlroy,3470,2,11,3,3,Par,E,69,-1
Rory McIlroy,3470,2,12,4,3,Birdie,-1,69,-1
Rory McIlroy,3470,2,13,4,5,Bogey,+1,69,-1
Rory McIlroy,3470,2,14,4,4,Par,E,69,-1
Rory McIlroy,3470,2,15,3,3,Par,E,69,-1
Rory McIlroy,3470,2,16,4,3,Birdie,-1,69,-1
Rory McIlroy,3470,2,17,4,4,Par,E,69,-1
Rory McIlroy,3470,2,18,5,4,Birdie,-1,69,-1
Rory McIlroy,3470,3,1,4,4,Par,E,63,-7
Rory McIlroy,3470,3,2,3,4,Bogey,+1,63,-7
Rory McIlroy,3470,3,3,4,3,Birdie,-1,63,-7
Rory McIlroy,3470,3,4,4,3,Birdie,-1,63,-7
Rory McIlroy,3470,3,5,4,4,Par,E,63,-7
Rory McIlroy,3470,3,6,5,4,Birdie,-1,63,-7
Rory McIlroy,3470,3,7,4,3,Birdie,-1,63,-7
Rory McIlroy,3470,3,8,4,4,Par,E,63,-7
Rory McIlroy,3470,3,9,3,3,Par,E,63,-7
Rory McIlroy,3470,3,10,4,3,Birdie,-1,63,-7
Rory McIlroy,3470,3,11,3,4,Bogey,+1,63,-7
Rory McIlroy,3470,3,12,4,3,Birdie,-1,63,-7
Rory McIlroy,3470,3,13,4,4,Par,E,63,-7
Rory McIlroy,3470,3,14,4,4,Par,E,63,-7
Rory McIlroy,3470,3,15,3,2,Birdie,-1,63,-7
Rory McIlroy,3470,3,16,4,3,Birdie,-1,63,-7
Rory McIlroy,3470,3,17,4,3,Birdie,-1,63,-7
Rory McIlroy,3470,3,18,5,5,Par,E,63,-7
Rory McIlroy,3470,4,1,4,5,Bogey,+1,69,-1
Rory McIlroy,3470,4,2,3,3,Par,E,69,-1
Rory McIlroy,3470,4,3,4,4,Par,E,69,-1
Rory McIlroy,3470,4,4,4,5,Bogey,+1,69,-1
Rory McIlroy,3470,4,5,4,5,Bogey,+1,69,-1
Rory McIlroy,3470,4,6,5,3,Eagle,-2,69,-1
Rory McIlroy,3470,4,7,4,4,Par,E,69,-1
Rory McIlroy,3470,4,8,4,4,Par,E,69,-1
Rory McIlroy,3470,4,9,3,4,Bogey,+1,69,-1
Rory McIlroy,3470,4,10,4,3,Birdie,-1,69,-1
Rory McIlroy,3470,4,11,3,3,Par,E,69,-1
Rory McIlroy,3470,4,12,4,3,Birdie,-1,69,-1
Rory McIlroy,3470,4,13,4,4,Par,E,69,-1
Rory McIlroy,3470,4,14,4,4,Par,E,69,-1
Rory McIlroy,3470,4,15,3,3,Par,E,69,-1
Rory McIlroy,3470,4,16,4,3,Birdie,-1,69,-1
Rory McIlroy,3470,4,17,4,5,Bogey,+1,69,-1
Rory McIlroy,3470,4,18,5,4,Birdie,-1,69,-1
Gary Woodland,3550,1,1,4,3,Birdie,-1,66,-4
Gary Woodland,3550,1,2,3,4,Bogey,+1,66,-4
Gary Woodland,3550,1,3,4,3,Birdie,-1,66,-4
Gary Woodland,3550,1,4,4,3,Birdie,-1,66,-4
Gary Woodland,3550,1,5,4,4,Par,E,66,-4
Gary Woodland,3550,1,6,5,4,Birdie,-1,66,-4
Gary Woodland,3550,1,7,4,5,Bogey,+1,66,-4
Gary Woodland,3550,1,8,4,4,Par,E,66,-4
Gary Woodland,3550,1,9,3,3,Par,E,66,-4
Gary Woodland,3550,1,10,4,4,Par,E,66,-4
Gary Woodland,3550,1,11,3,3,Par,E,66,-4
Gary Woodland,3550,1,12,4,4,Par,E,66,-4
Gary Woodland,3550,1,13,4,4,Par,E,66,-4
Gary Woodland,3550,1,14,4,4,Par,E,66,-4
Gary Woodland,3550,1,15,3,3,Par,E,66,-4
Gary Woodland,3550,1,16,4,4,Par,E,66,-4
